msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
11740,"Ashland, OH Micro Area",39,5,"Ashland County, Ohio",40.7887367,-82.2360391
11820,"Astoria, OR Micro Area",41,7,"Clatsop County, Oregon",45.980728,-123.6687499
11860,"Atchison, KS Micro Area",20,5,"Atchison County, Kansas",39.545816,-95.3326052
11900,"Athens, OH Micro Area",39,9,"Athens County, Ohio",39.355589,-82.0610404
11940,"Athens, TN Micro Area",47,107,"McMinn County, Tennessee",35.444223,-84.624875
11980,"Athens, TX Micro Area",48,213,"Henderson County, Texas",32.182598,-95.7893178
12020,"Athens-Clarke County, GA Metro Area",13,59,"Clarke County, Georgia",33.9597677,-83.376398
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,13,"Barrow County, Georgia",33.9848611,-83.6996482
12100,"Atlantic City-Hammonton, NJ Metro Area",34,1,"Atlantic County, New Jersey",39.5143268,-74.6632883
12140,"Auburn, IN Micro Area",18,33,"DeKalb County, Indiana",41.3991456,-85.001244
12180,"Auburn, NY Micro Area",36,11,"Cayuga County, New York",42.8093409,-76.5700777
12220,"Auburn-Opelika, AL Metro Area",1,81,"Lee County, Alabama",32.5814796,-85.3077038
12260,"Augusta-Richmond County, GA-SC Metro Area",13,33,"Burke County, Georgia",33.0482247,-81.9575983
12300,"Augusta-Waterville, ME Micro Area",23,11,"Kennebec County, Maine",44.4184616,-69.8250659
12380,"Austin, MN Micro Area",27,99,"Mower County, Minnesota",43.6832277,-92.753704
12420,"Austin-Round Rock-San Marcos, TX Metro Area",48,21,"Bastrop County, Texas",30.0541116,-97.3887764
12460,"Bainbridge, GA Micro Area",13,87,"Decatur County, Georgia",30.8736613,-84.5740953
12520,"Baker City, OR Micro Area",41,1,"Baker County, Oregon",44.7259637,-117.6204818
12540,"Bakersfield-Delano, CA Metro Area",6,29,"Kern County, California",35.3145701,-118.753822
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,3,"Anne Arundel County, Maryland",38.9722583,-76.573454
12620,"Bangor, ME Metro Area",23,19,"Penobscot County, Maine",45.2930166,-68.5957766
12660,"Baraboo, WI Micro Area",55,111,"Sauk County, Wisconsin",43.4401728,-89.9653841
12700,"Barnstable Town, MA Metro Area",25,1,"Barnstable County, Massachusetts",41.7016936,-70.3036163
