msa,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Davenport-Moline-Rock Island, IA-IL Metro Area",174002,159261,14741,8.471741704118344
"Dayton, TN Micro Area",15163,13082,2081,13.724197058629558
"Dayton-Kettering, OH Metro Area",369625,339453,30172,8.162867771389923
"Decatur, AL Metro Area",68490,62758,5732,8.369104978829025
"Decatur, IL Metro Area",49727,44549,5178,10.412854183843786
"Decatur, IN Micro Area",13172,12386,786,5.967203158214394
"Defiance, OH Micro Area",16539,15482,1057,6.3909547131023645
"Del Rio, TX Micro Area",18455,15796,2659,14.408019506908698
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",327890,280751,47139,14.3764677178322
"Deming, NM Micro Area",11508,9822,1686,14.65067778936392
"Denver-Aurora-Lakewood, CO Metro Area",1242492,1167462,75030,6.038670671521426
"DeRidder, LA Micro Area",15771,13797,1974,12.51664447403462
"Des Moines-West Des Moines, IA Metro Area",300984,280757,20227,6.720290779576323
"Detroit-Warren-Dearborn, MI Metro Area",1901256,1760892,140364,7.382698595034019
"Dickinson, ND Micro Area",15948,13967,1981,12.421620265864059
"Dixon, IL Micro Area",14985,13589,1396,9.315982649315982
"Dodge City, KS Micro Area",12550,11376,1174,9.354581673306773
"Dothan, AL Metro Area",70792,62411,8381,11.838908351226127
"Douglas, GA Micro Area",20801,18341,2460,11.826354502187394
"Dover, DE Metro Area",72708,68290,4418,6.076360235462397
"Dublin, GA Micro Area",28334,25050,3284,11.590315521987717
"DuBois, PA Micro Area",38078,32435,5643,14.819580860339304
"Dubuque, IA Metro Area",42630,39891,2739,6.425052779732583
"Duluth, MN-WI Metro Area",149586,124417,25169,16.825772465337664
"Dumas, TX Micro Area",8188,7258,930,11.358085002442598
"Duncan, OK Micro Area",20322,17268,3054,15.028048420431059
"Durango, CO Micro Area",28198,23487,4711,16.70685864245691
"Durant, OK Micro Area",20366,17954,2412,11.843268192084848
"Durham-Chapel Hill, NC Metro Area",282215,261637,20578,7.291603918997927
"Dyersburg, TN Micro Area",16218,14787,1431,8.823529411764707
"Eagle Pass, TX Micro Area",20072,18034,2038,10.153447588680748
"Easton, MD Micro Area",19538,16296,3242,16.59330535366977
"East Stroudsburg, PA Metro Area",79114,62284,16830,21.273099577824407
"Eau Claire, WI Metro Area",73654,69167,4487,6.091997719064817
"Edwards, CO Micro Area",32967,20760,12207,37.02793702793703
"Effingham, IL Micro Area",15314,14117,1197,7.816377171215881
"El Campo, TX Micro Area",17296,15446,1850,10.696114708603146
"El Centro, CA Metro Area",56625,52050,4575,8.079470198675496
"El Dorado, AR Micro Area",18599,16182,2417,12.995322329157483
"Elizabeth City, NC Micro Area",24276,21182,3094,12.745098039215685
"Elizabethtown-Fort Knox, KY Metro Area",65086,59857,5229,8.03398580339858
"Elk City, OK Micro Area",10123,8034,2089,20.63617504692285
"Elkhart-Goshen, IN Metro Area",79594,74631,4963,6.235394627735759
"Elkins, WV Micro Area",13035,10980,2055,15.765247410817032
"Elko, NV Micro Area",22732,20433,2299,10.113496392750308
"Ellensburg, WA Micro Area",23743,18650,5093,21.45053278861138
"Elmira, NY Metro Area",38985,35242,3743,9.601128639220214
"El Paso, TX Metro Area",319001,297233,21768,6.823803060178495
"Emporia, KS Micro Area",16354,14239,2115,12.932615873792344
"Enid, OK Metro Area",27846,24198,3648,13.100624865330749
"Enterprise, AL Micro Area",24105,21263,2842,11.790085044596557
"Erie, PA Metro Area",119791,109371,10420,8.698483191558632
"Escanaba, MI Micro Area",19786,16290,3496,17.66905893055696
"Española, NM Micro Area",19545,16122,3423,17.513430544896394
"Eufaula, AL-GA Micro Area",13296,10675,2621,19.712695547533094
"Eugene-Springfield, OR Metro Area",166226,156594,9632,5.79452071276455
"Eureka-Arcata, CA Micro Area",62120,56422,5698,9.172569220862846
"Evanston, WY Micro Area",8798,7733,1065,12.105023869061151
"Evansville, IN-KY Metro Area",141244,129180,12064,8.54124776981677
"Fairbanks, AK Metro Area",42659,36521,6138,14.38852293771537
"Fairfield, IA Micro Area",7689,6902,787,10.235401222525686
"Fairmont, MN Micro Area",9748,8748,1000,10.258514567090685
"Fairmont, WV Micro Area",26280,23223,3057,11.632420091324201
"Fallon, NV Micro Area",10772,10017,755,7.008911994058671
"Fargo, ND-MN Metro Area",112241,103603,8638,7.695939986279524
"Faribault-Northfield, MN Micro Area",25018,23416,1602,6.403389559517148
"Farmington, MO Micro Area",28636,24792,3844,13.4236625226987
"Farmington, NM Metro Area",47744,42536,5208,10.908176943699733
"Fayetteville, NC Metro Area",215134,195651,19483,9.056216125763477
"Fayetteville-Springdale-Rogers, AR Metro Area",221207,203096,18111,8.187353926412817
