msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Laredo, TX Metro Area",267282,5.9,4.9,21.8,59984,29927,29700,27.6983621,-99.2523577,84763,78282,6481,7.646024798555974
"Las Cruces, NM Metro Area",219870,6.8,7.5,22.5,51232,28890,29740,32.32817,-106.849423,89804,82366,7438,8.28248184936083
"Las Vegas, NM Micro Area",31423,7.0,11.9,23.8,42301,27063,29780,35.972232,-104.9132218,17634,13246,4388,24.883747306340027
"Laurel, MS Micro Area",83472,3.7,2.1,27.0,48389,33322,29860,32.0216075,-89.1132111,36517,32100,4417,12.095736232439686
"Laurinburg, NC Micro Area",34222,10.8,4.5,24.4,41948,30566,29900,34.8628902,-79.4903372,14348,12870,1478,10.30108725954837
"Lawrence, KS Metro Area",119094,4.8,11.7,20.2,66153,31737,29940,38.8838392,-95.2874559,52846,48553,4293,8.123604435529652
"Lawrenceburg, TN Micro Area",44377,6.3,5.5,26.1,51038,35725,29980,35.2256914,-87.4016388,18658,17075,1583,8.484296280415908
"Lawton, OK Metro Area",127314,6.4,10.7,18.7,57196,33044,30020,34.6557505,-98.4485103,55292,46927,8365,15.12877088909788
"Lebanon, MO Micro Area",36060,5.9,4.6,20.0,49202,34228,30060,37.6475206,-92.6324187,15908,14325,1583,9.950968066381694
"Lebanon, PA Metro Area",143258,4.4,8.5,22.2,72532,40278,30140,40.375713,-76.4626118,59084,55808,3276,5.544648297339381
"Lewisburg, PA Micro Area",42908,3.5,6.6,18.9,64914,31755,30260,40.9745493,-77.0785945,16082,14523,1559,9.69406790200224
"Lewisburg, TN Micro Area",34567,5.8,9.6,30.5,65325,40177,30280,35.4814932,-86.7711675,14302,13279,1023,7.152845755838344
"Lewiston, ID-WA Metro Area",64570,4.1,7.6,16.5,64488,37571,30300,46.3959861,-116.8072307,28398,26580,1818,6.401859285865203
"Lewiston-Auburn, ME Metro Area",111532,4.8,10.9,24.4,64500,39659,30340,44.1402839,-70.196395,49837,45393,4444,8.91706964704938
"Lewistown, PA Micro Area",46146,3.9,5.3,24.8,58012,36844,30380,40.6099183,-77.6215085,21313,18823,2490,11.6830103692582
"Lexington, NE Micro Area",25910,2.0,2.1,19.3,68128,39282,30420,40.8776438,-99.8505693,10940,9657,1283,11.72760511882998
"Lexington-Fayette, KY Metro Area",515954,4.7,9.4,21.8,68089,37896,30460,38.1944867,-84.2046611,226278,209217,17061,7.539840373346061
"Liberal, KS Micro Area",21942,2.7,3.4,14.9,57131,35800,30580,37.1850331,-100.8928434,8268,7359,909,10.994194484760522
"Lima, OH Metro Area",102087,6.1,4.5,19.0,58976,36032,30620,40.8077797,-84.0572225,44563,40935,3628,8.14128312725804
"Lincoln, IL Micro Area",28027,5.2,6.7,21.1,62547,37175,30660,40.1075089,-89.3768539,11984,10749,1235,10.305407209612817
"Lincoln, NE Metro Area",339707,3.1,8.8,19.1,70899,37549,30700,40.9515685,-96.6909842,142545,134442,8103,5.684520677680732
"Little Rock-North Little Rock-Conway, AR Metro Area",749290,4.6,7.6,23.3,62664,40726,30780,35.1470851,-92.3219053,336959,305493,31466,9.33822809303209
"Lock Haven, PA Micro Area",37860,5.3,7.2,23.8,59011,34849,30820,41.2711458,-77.6984481,18603,15199,3404,18.29812395850132
"Logan, UT-ID Metro Area",148804,2.3,10.7,17.7,71739,29764,30860,42.1093652,-111.8203389,48759,46259,2500,5.127258557394533
"Logansport, IN Micro Area",37820,4.2,3.0,21.3,55862,35311,30900,40.7808235,-86.3449159,16379,14900,1479,9.02985530252152
"Longview, TX Metro Area",287359,4.7,5.0,23.6,62910,35462,30980,32.4492408,-94.8532848,120889,107325,13564,11.220210275542026
"Los Alamos, NM Micro Area",19253,1.9,11.8,16.0,135801,83135,31060,35.8585475,-106.317166,8634,8147,487,5.640491081769747
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13111917,6.6,13.5,30.1,89105,42463,31080,34.3155072,-118.209681,4721766,4494733,227033,4.808222177888527
"Louisville/Jefferson County, KY-IN Metro Area",1282588,4.7,10.3,23.8,69771,41335,31140,38.4941217,-85.7169081,560778,520270,40508,7.2235358733759165
"Lubbock, TX Metro Area",322285,4.6,5.7,17.0,61535,34207,31180,33.5905096,-102.805677,137388,123566,13822,10.06055841849361
"Ludington, MI Micro Area",29178,4.8,7.7,19.4,60744,34205,31220,43.9778831,-86.246291,17392,12319,5073,29.16858325666973
"Lufkin, TX Micro Area",86608,6.0,4.4,22.4,57055,33359,31260,31.2544545,-94.6181177,36480,32134,4346,11.913377192982455
"Lumberton, NC Micro Area",117573,6.4,3.2,24.8,39393,32332,31300,34.6485079,-79.0954942,48426,43402,5024,10.3745921612357
"Lynchburg, VA Metro Area",262124,4.3,8.5,23.0,64307,35653,31340,37.5997548,-79.1483701,117674,104926,12748,10.83331916991009
"Macomb, IL Micro Area",27370,8.0,5.2,19.3,48904,24324,31380,40.4376858,-90.6780272,13609,11479,2130,15.651407157028435
"Macon-Bibb County, GA Metro Area",233334,6.5,6.2,24.4,54700,34951,31420,32.8095879,-83.694562,103752,91708,12044,11.60845092142802
"Madison, IN Micro Area",33057,3.4,4.9,22.3,57801,35275,31500,38.8166724,-85.4299489,14386,12992,1394,9.689976365911305
"Madison, WI Metro Area",678995,2.4,14.4,21.7,82996,46979,31540,43.4641929,-89.3478429,302538,287601,14937,4.937231025524066
"Madisonville, KY Micro Area",45223,7.7,3.3,22.1,54466,38024,31580,37.3006817,-87.5612458,20888,18595,2293,10.977594791267714
"Magnolia, AR Micro Area",22707,3.2,2.6,20.7,47441,30170,31620,33.1938586,-93.2344337,10999,9082,1917,17.42885716883353
"Malvern, AR Micro Area",33129,4.6,2.4,28.0,50260,32626,31680,34.2956351,-92.9005742,14179,12473,1706,12.031878129628325
"Manchester-Nashua, NH Metro Area",422733,3.7,13.9,27.4,95112,50211,31700,42.9373379,-71.751376,175571,167875,7696,4.383411839085043
"Manhattan, KS Metro Area",133834,4.3,8.6,17.6,61270,31584,31740,38.9885445,-96.7619968,56271,49249,7022,12.478896767429047
"Manitowoc, WI Micro Area",81242,2.0,6.7,20.0,66412,41131,31820,44.0998341,-87.827992,37818,34995,2823,7.464699349516104
"Mankato, MN Metro Area",103402,3.1,9.8,17.4,73472,35049,31860,44.0109722,-94.0560643,42540,39921,2619,6.156558533145275
"Mansfield, OH Metro Area",125008,4.8,4.6,22.6,56557,33822,31900,40.776322,-82.5302254,54522,50303,4219,7.738160742452588
"Marietta, OH Micro Area",59639,5.2,6.5,23.3,59053,35168,31930,39.4782641,-81.5488945,27987,25254,2733,9.765248150927215
"Marinette, WI-MI Micro Area",65260,4.1,5.8,21.1,58291,37990,31940,45.5785741,-87.562159,42401,29460,12941,30.520506591825665
"Marion, IN Micro Area",66560,7.3,6.9,22.1,53033,31660,31980,40.5114735,-85.6540606,29810,26487,3323,11.147266018114726
"Marion, NC Micro Area",44629,5.5,4.0,24.6,53532,35498,32000,35.6608869,-82.0482171,21242,18058,3184,14.989172394313153
"Marion, OH Micro Area",65366,5.7,4.8,23.6,55106,35605,32020,40.5885271,-83.1895249,27348,24932,2416,8.83428404270879
"Marquette, MI Micro Area",66376,5.6,5.6,18.3,63115,29948,32100,46.4481521,-87.6305899,33454,27681,5773,17.256531356489507
"Marshall, MN Micro Area",25352,3.0,9.3,15.2,68919,39644,32140,44.3880733,-95.8287296,11180,10137,1043,9.329159212880144
"Marshall, MO Micro Area",23219,2.7,6.7,17.2,55396,33079,32180,39.1256186,-93.2300648,9836,8469,1367,13.89792598617324
"Marshalltown, IA Micro Area",40049,5.6,6.1,19.9,70828,40317,32260,42.0378125,-92.9915704,16745,15358,1387,8.283069573006868
"Martin, TN Micro Area",32946,4.0,5.0,21.0,47769,31250,32280,36.2902404,-88.7263475,14945,13373,1572,10.518568082970893
"Martinsville, VA Micro Area",64299,5.0,6.1,23.1,42458,32747,32300,36.6725813,-79.9242922,32475,28108,4367,13.44726712856043
"Maryville, MO Micro Area",21140,2.3,5.5,15.8,53917,28334,32340,40.3483437,-94.8723663,9449,8376,1073,11.355699015768865
"Mason City, IA Micro Area",50396,3.0,7.4,17.4,63785,38652,32380,43.0742443,-93.2548746,26083,22351,3732,14.30817007246099
"Mayfield, KY Micro Area",36701,3.7,6.7,21.0,52526,34408,32460,36.7244966,-88.6569094,16472,14742,1730,10.50267119961146
"McAlester, OK Micro Area",43758,6.3,6.4,20.9,53054,34048,32540,34.9327085,-95.7625858,22046,17339,4707,21.350811938673683
"McAllen-Edinburg-Mission, TX Metro Area",873167,7.6,7.9,22.9,49371,27396,32580,26.3530256,-98.216445,294902,258542,36360,12.329519637031964
"McComb, MS Micro Area",40098,7.2,2.8,25.5,40131,27920,32620,31.1712493,-90.4093394,19017,16232,2785,14.644791502340013
"McMinnville, TN Micro Area",41163,3.9,5.7,27.3,52948,34091,32660,35.6889753,-85.7796626,18088,16336,1752,9.685979655019905
"McPherson, KS Micro Area",30085,2.1,5.8,15.0,71250,37585,32700,38.3659015,-97.6575171,13019,11897,1122,8.618173438820186
"Meadville, PA Micro Area",83876,5.6,6.5,22.5,58734,34541,32740,41.6951179,-80.1428967,42063,33930,8133,19.335282790100564
"Medford, OR Metro Area",222604,5.5,11.3,18.8,67690,37199,32780,42.398015,-122.7540948,96239,90467,5772,5.997568553289208
"Memphis, TN-MS-AR Metro Area",1335804,6.8,7.1,24.3,62178,39034,32820,35.2505701,-90.3192299,565930,516751,49179,8.689943986005336
"Menomonie, WI Micro Area",45221,3.7,8.4,23.2,69721,34209,32860,44.9333564,-91.8994409,18693,17414,1279,6.842133418926871
"Merced, CA Metro Area",282290,10.7,5.4,30.5,64772,34633,32900,37.1641544,-120.7678602,87783,83464,4319,4.920087032796783
"Meridian, MS Micro Area",97274,6.3,3.5,25.1,45386,29622,32940,32.0396256,-88.7003965,44946,39222,5724,12.735282338806568
"Mexico, MO Micro Area",24873,3.9,4.3,22.6,51745,32955,33020,39.2226625,-91.8467268,10542,9414,1128,10.700056915196358
"Miami, OK Micro Area",30472,3.8,3.6,20.1,46186,30417,33060,36.8223646,-94.8186091,13714,11859,1855,13.52632346507219
"Michigan City-La Porte, IN Metro Area",112215,5.0,5.0,24.5,66854,38244,33140,41.5718945,-86.7490124,49780,43799,5981,12.014865407794296
"Middlesborough, KY Micro Area",24248,10.0,4.2,24.4,33658,25186,33180,36.7370344,-83.6491695,11517,9928,1589,13.796995745419816
"Midland, MI Metro Area",83503,5.0,9.3,24.7,73643,42934,33220,43.634525,-84.3840821,36867,34288,2579,6.995415954647788
"Midland, TX Metro Area",174621,3.6,5.4,21.0,89345,50104,33260,32.2675039,-101.9190317,72423,62728,9695,13.386631318779946
"Milledgeville, GA Micro Area",52366,6.9,4.8,27.9,51988,33713,33300,33.0869398,-83.2633216,24884,19809,5075,20.39463108824948
"Milwaukee-Waukesha, WI Metro Area",1568940,3.8,11.6,22.9,72937,45320,33340,43.0180325,-87.58075460628575,693765,651032,42733,6.159578531635352
"Minden, LA Micro Area",36761,5.3,7.1,28.8,34263,23657,33380,32.6358137,-93.3285187,18236,15684,2552,13.994296994955032
"Mineral Wells, TX Micro Area",28569,7.3,7.5,29.6,65242,37286,33420,32.7215726,-98.2814881,15079,11250,3829,25.392930565687376
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3678328,3.9,16.1,24.8,94673,51083,33460,45.2710195,-93.2827625,1503829,1434315,69514,4.622467049112632
"Missoula, MT Metro Area",118541,4.5,10.3,17.9,66840,34642,33540,47.1330265,-114.9202341,54542,50645,3897,7.144952513659199
"Mitchell, SD Micro Area",23409,1.5,7.7,14.3,57432,37256,33580,43.6660467,-98.1383168,10763,9727,1036,9.625569079252996
"Moberly, MO Micro Area",24652,5.3,5.3,22.1,51480,32785,33620,39.4418988,-92.5009215,10773,9424,1349,12.522045855379188
"Mobile, AL Metro Area",429312,5.9,6.3,26.3,55247,36872,33660,30.6488242,-88.194642,192153,170071,22082,11.491884071547153
"Modesto, CA Metro Area",552063,8.2,6.6,30.8,74872,39756,33700,37.5500871,-121.0501425,183140,176738,6402,3.4956863601616246
"Monroe, LA Metro Area",206072,6.6,5.4,23.6,47351,35444,33740,32.8326959,-91.8374127,92225,81715,10510,11.396042287882894
"Monroe, MI Metro Area",154823,5.7,6.9,26.6,72573,44277,33780,41.9153358,-83.5135665,65845,62152,3693,5.608626319386438
"Montgomery, AL Metro Area",384740,5.6,6.1,23.6,60849,36521,33860,32.5165255,-86.6319403,171240,152474,18766,10.958888110254614
"Montrose, CO Micro Area",47759,4.3,11.5,21.1,65033,37193,33940,38.4375391,-108.2403855,22266,19779,2487,11.169496092697386
"Morehead City, NC Micro Area",68353,4.9,8.5,24.0,66965,35949,33980,34.8496625,-76.5931208,50846,30112,20734,40.7780356370216
"Morgan City, LA Micro Area",49114,5.9,3.6,22.5,47322,36594,34020,29.692329,-91.442465,22407,19321,3086,13.772481813718926
"Morgantown, WV Metro Area",140194,6.0,10.1,23.5,60670,33165,34060,39.6391074,-80.0300399,65055,57330,7725,11.874567673507032
"Morristown, TN Metro Area",143196,6.0,5.2,25.6,52913,33737,34100,36.2068067,-83.267995,63848,56389,7459,11.682433279037712
"Moscow, ID Micro Area",39872,5.3,9.5,18.5,62258,27361,34140,46.8171611,-116.693441,17259,16063,1196,6.929717828379396
"Moses Lake, WA Micro Area",99145,5.4,8.1,20.0,66387,36616,34180,47.119015,-119.4904332,38635,34078,4557,11.795004529571631
"Moultrie, GA Micro Area",45813,6.1,4.2,23.1,47235,33480,34220,31.1803601,-83.7696152,19105,17172,1933,10.117770217220624
"Mountain Home, AR Micro Area",41801,5.1,5.7,17.4,47403,30575,34260,36.2820691,-92.3445222,22699,18936,3763,16.577822811577605
"Mountain Home, ID Micro Area",28752,6.4,3.2,22.0,55000,34424,34300,43.3073766,-115.5411027,12049,10663,1386,11.5030292970371
"Mount Airy, NC Micro Area",71429,4.9,4.1,25.9,52743,34851,34340,36.4135582,-80.7013751,33436,29659,3777,11.29620768034454
"Mount Pleasant, MI Micro Area",64938,7.2,5.3,18.6,52638,23021,34380,43.6306545,-84.8468516,28489,25191,3298,11.57639790796448
"Mount Pleasant, TX Micro Area",43844,4.4,3.6,21.1,56096,33708,34420,32.9723128,-94.9852858,17787,15620,2167,12.183055040197898
"Mount Sterling, KY Micro Area",47101,5.0,5.7,28.5,51889,35155,34460,38.1245248,-83.7249243,20847,18475,2372,11.378135942821508
"Mount Vernon, IL Micro Area",37043,6.5,4.7,19.7,58384,35911,34500,38.3010487,-88.9344303,16632,14945,1687,10.143097643097644
"Mount Vernon, OH Micro Area",62657,3.3,10.1,27.5,71246,36433,34540,40.4467896,-82.4056302,25797,23429,2368,9.179361941311006
"Mount Vernon-Anacortes, WA Metro Area",129480,5.1,10.6,26.6,82029,44391,34580,48.4596092,-121.7332784,55744,50371,5373,9.638705510907004
"Muncie, IN Metro Area",112156,6.1,5.7,21.0,53377,28511,34620,40.2193275,-85.4040612,51464,45453,6011,11.680009326908127
"Murray, KY Micro Area",37345,4.7,4.2,16.6,48276,29054,34660,36.6257937,-88.271076,17874,15108,2766,15.474991607922124
"Muscatine, IA Micro Area",42968,3.5,4.5,19.2,67427,39595,34700,41.4776121,-91.1210053,18366,16908,1458,7.93858216269193
"Muskogee, OK Micro Area",66606,5.7,6.4,21.4,50289,34137,34780,35.6630196,-95.3927706,29278,25525,3753,12.818498531320447
"Nacogdoches, TX Micro Area",64768,6.6,6.2,21.0,51153,26832,34860,31.5970503,-94.5927451,28877,24713,4164,14.419780448107492
"Napa, CA Metro Area",137384,5.2,11.0,25.6,105809,48702,34900,38.4898675,-122.3218414,55448,49738,5710,10.29793680565575
"Naples-Marco Island, FL Metro Area",380221,4.3,11.7,25.5,82011,39572,34940,26.087964,-81.3794941,228390,157921,70469,30.854678400980777
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1990873,3.8,14.1,27.7,79020,43535,34980,35.8044159,-86.0512075,828009,772530,55479,6.700289489606997
"Natchez, MS-LA Micro Area",48102,8.9,2.2,21.8,37726,31552,35020,31.3941887,-91.6714379,23849,19911,3938,16.51222273470586
"Natchitoches, LA Micro Area",37478,8.9,2.7,24.0,41310,28658,35060,31.6464192,-93.1427138,18513,15213,3300,17.825311942959
"Newberry, SC Micro Area",37918,3.9,3.4,26.0,56706,35427,35140,34.3266879,-81.5830086,18213,15039,3174,17.427112502058968
"New Castle, IN Micro Area",48913,4.5,6.4,25.8,57632,37372,35220,39.9297608,-85.4043542,20952,18954,1998,9.536082474226804
"New Orleans-Metairie, LA Metro Area",1264357,6.7,8.6,26.1,62748,39943,35380,29.8502657,-90.1293894,571914,512253,59661,10.431813174708084
"New Philadelphia-Dover, OH Micro Area",92840,5.5,6.1,23.2,61953,37234,35420,40.3759469,-81.464888,40817,37711,3106,7.609574442021707
"Newport, OR Micro Area",50334,7.7,11.8,21.2,57794,32352,35440,44.6201742,-123.9276915,32066,22707,9359,29.18667747770224
"Newport, TN Micro Area",36186,6.2,4.7,29.5,45110,32661,35460,35.9467093,-83.103978,17808,15246,2562,14.38679245283019
"New Ulm, MN Micro Area",25880,2.7,7.7,15.7,67038,40869,35580,44.2350232,-94.6955051,11780,10970,810,6.8760611205432935
"Niles, MI Metro Area",153938,6.6,8.6,21.5,60379,35974,35660,41.9838614,-86.3985714,76821,63955,12866,16.748024628682263
"Nogales, AZ Micro Area",47838,9.8,5.8,23.3,51885,32114,35700,31.5094579,-110.847628,18729,16670,2059,10.99364621709648
"Norfolk, NE Micro Area",48667,2.3,6.1,16.3,63350,39268,35740,41.9064942,-97.5961512,20672,19150,1522,7.362616099071208
"North Platte, NE Micro Area",35827,3.3,3.8,15.5,63119,37168,35820,41.0245579,-100.7366742,17125,15137,1988,11.608759124087593
"North Wilkesboro, NC Micro Area",66125,6.0,7.6,27.6,49119,31917,35900,36.1998247,-81.1341351,31545,27612,3933,12.4679029957204
"Norwalk, OH Micro Area",58518,4.4,4.1,22.9,64144,37920,35940,41.1305303,-82.591828,25499,23406,2093,8.208165026079454
"Oak Harbor, WA Micro Area",86510,5.5,11.9,27.1,82850,43493,36020,48.2162669,-122.6842402,41922,35917,6005,14.324221172653976
"Ocala, FL Metro Area",378225,5.9,9.0,26.4,55265,33621,36100,29.2182454,-82.0626948,177380,156906,20474,11.542451234637502
"Odessa, TX Metro Area",162300,5.8,3.4,26.2,70566,45857,36220,31.8941755,-102.5794339,66086,57336,8750,13.24032321520443
"Oil City, PA Micro Area",50475,6.7,7.6,24.2,59278,35135,36340,41.3996112,-79.7709417,26156,21506,4650,17.777947698424835
"Okeechobee, FL Micro Area",39870,6.1,6.3,26.7,50476,33781,36380,27.3923408,-80.8873655,18484,14433,4051,21.91625189352954
"Oklahoma City, OK Metro Area",1428923,4.5,8.4,23.4,67963,39475,36420,35.5438102,-98.0031532,607725,552514,55211,9.084865687605411
"Olean, NY Micro Area",77000,5.4,6.8,22.4,56889,35062,36460,42.2234823,-78.6477096,40152,31863,8289,20.644052600119544
"Olympia-Lacey-Tumwater, WA Metro Area",294272,5.5,14.5,26.6,88895,47622,36500,46.9319983,-122.8855155,121438,115397,6041,4.974554916912334
"Oneonta, NY Micro Area",59678,5.0,8.5,23.1,65778,32458,36580,42.5984272,-75.0142701,29838,23414,6424,21.529593136269188
"Ontario, OR-ID Micro Area",57109,5.3,6.0,19.5,55155,32065,36620,44.0374651,-116.7651123,21299,19728,1571,7.375933142401052
"Opelousas, LA Micro Area",82574,6.9,5.7,29.8,44478,33204,36660,30.6174002,-92.0035057,36723,32499,4224,11.50232824115677
"Orangeburg, SC Micro Area",84159,9.2,5.6,29.5,41020,29990,36700,33.4054944,-80.778429,41197,33825,7372,17.894506881569047
"Orlando-Kissimmee-Sanford, FL Metro Area",2679298,5.3,13.0,29.4,71551,37051,36740,28.7006859,-81.78994,1087949,989354,98595,9.062465244234794
"Oshkosh-Neenah, WI Metro Area",171197,2.4,9.0,18.6,70041,40739,36780,44.0697014,-88.6516527,76046,71473,4573,6.013465534018883
"Oskaloosa, IA Micro Area",22059,3.3,5.9,18.2,65200,37431,36820,41.314939,-92.6489935,9680,8799,881,9.101239669421489
"Othello, WA Micro Area",20557,6.3,5.3,22.3,63105,30224,36830,46.9723633,-118.5934644,6735,6228,507,7.527839643652562
"Ottawa, IL Micro Area",148326,5.4,4.3,24.6,67181,38225,36837,41.4016294,-89.5341179,68485,61808,6677,9.749580200043804
"Ottawa, KS Micro Area",25968,2.6,8.5,24.1,68217,40329,36840,38.5720008,-95.3184483,11149,10233,916,8.215983496277692
"Ottumwa, IA Micro Area",35292,4.4,4.2,19.6,56209,37329,36900,41.0137597,-92.4140217,15734,14167,1567,9.959323757467905
"Owatonna, MN Micro Area",37396,3.4,6.9,18.1,79722,46153,36940,44.0137336,-93.2203671,15691,14823,868,5.531833535147537
"Owensboro, KY Metro Area",121147,4.3,4.5,21.0,64366,38971,36980,37.6877924,-87.0818357,51918,48373,3545,6.828075041411457
"Oxford, MS Micro Area",56172,2.8,5.5,21.7,59748,29232,37060,34.3519035,-89.4664677,28208,22362,5846,20.724617129892227
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",842009,5.3,12.4,26.0,102141,44319,37100,34.4458248,-119.0779359,293080,279715,13365,4.560188344479323
"Ozark, AL Micro Area",49455,7.8,3.5,22.9,52813,33462,37120,31.3940969,-85.623763,22761,20159,2602,11.431835156627566
"Pahrump, NV Micro Area",51698,9.3,8.0,28.4,53602,35803,37220,38.3544843,-116.406961,25191,21763,3428,13.608034615537296
"Palatka, FL Micro Area",73604,8.9,7.9,31.7,44852,30369,37260,29.6266155,-81.7230549,36014,29569,6445,17.8958182928861
"Palestine, TX Micro Area",58077,3.9,3.2,23.2,57445,34750,37300,31.7819242,-95.6258199,20131,17371,2760,13.71019820177835
"Palm Bay-Melbourne-Titusville, FL Metro Area",610723,4.9,11.6,25.6,71308,39064,37340,28.2100203,-80.7997185,288794,257026,31768,11.000228536603943
"Pampa, TX Micro Area",22036,5.2,3.7,18.9,54852,34403,37420,35.3711816,-100.7892236,10426,8278,2148,20.602340303088432
"Paragould, AR Micro Area",45954,7.5,3.0,22.8,54879,34218,37500,36.091803,-90.5778883,19159,17673,1486,7.756145936635524
"Paris, TN Micro Area",32305,4.0,3.7,22.1,48025,33815,37540,36.3180775,-88.3108196,16937,13742,3195,18.86402550628801
"Paris, TX Micro Area",50149,3.9,5.8,19.4,58246,35330,37580,33.6383552,-95.582343,22644,20186,2458,10.854972619678502
"Parkersburg-Vienna, WV Metro Area",89474,5.1,7.1,21.1,54175,35178,37620,39.0287156,-81.3558282,43006,38403,4603,10.703157698925732
"Payson, AZ Micro Area",53419,6.9,8.8,22.2,55242,34446,37740,33.74162695,-110.68145790073925,32373,22312,10061,31.078367775615483
"Pella, IA Micro Area",33487,2.3,7.4,20.5,74193,44319,37800,41.3144108,-93.1010141,14073,13145,928,6.594187451147588
"Pensacola-Ferry Pass-Brent, FL Metro Area",510290,5.7,11.9,26.0,69374,36757,37860,30.6625885,-87.3451089,221244,197614,23630,10.68051562980239
"Peoria, IL Metro Area",401702,5.3,8.2,21.0,67718,41129,37900,41.0324537,-89.2998456,183579,165642,17937,9.770725409769092
"Peru, IN Micro Area",35952,4.5,4.3,24.8,59551,33977,37940,40.7454905,-86.0639451,14852,13348,1504,10.126582278481012
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6232894,6.1,14.4,29.3,85555,48344,37980,39.6159851,-75.662956,2586947,2413835,173112,6.691748999882874
"Phoenix-Mesa-Chandler, AZ Metro Area",4864209,4.9,15.9,26.6,79935,43713,38060,33.34883,-112.49123,1985705,1790242,195463,9.843506462440292
"Picayune, MS Micro Area",56351,5.6,6.7,35.1,54220,33621,38100,30.7761604,-89.5984726,24641,21703,2938,11.923217401891158
"Pierre, SD Micro Area",20791,0.4,6.3,13.9,83641,45049,38180,44.4047339,-99.946102,9349,8484,865,9.252326452026956
"Pittsburg, KS Micro Area",39012,3.9,4.0,16.7,49779,30279,38260,37.503889,-94.8652466,17997,15668,2329,12.941045729843864
"Pittsburgh, PA Metro Area",2365501,5.1,13.2,26.6,71283,44740,38300,40.4597204,-79.9760405,1124531,1024382,100149,8.905846081610912
"Pittsfield, MA Metro Area",128763,5.3,10.5,21.0,69744,40817,38340,42.3999954,-73.2322639,69759,57015,12744,18.26861050187073
"Plainview, TX Micro Area",32525,4.7,2.3,18.2,50721,32891,38380,34.0266015,-101.2765537,13396,11396,2000,14.92982979994028
"Platteville, WI Micro Area",51842,3.1,9.4,20.6,63497,33733,38420,42.8855277,-90.6991696,22110,19956,2154,9.742198100407055
"Plattsburgh, NY Micro Area",79839,4.7,6.4,19.7,67097,41479,38460,44.7278943,-73.6686982,37315,32583,4732,12.681227388449685
"Plymouth, IN Micro Area",46208,3.0,4.3,22.9,66016,39470,38500,41.322843,-86.2809625,19654,17480,2174,11.061361554899769
"Pocatello, ID Metro Area",95352,5.3,8.7,17.9,60704,33393,38540,42.6936188,-112.2506044,37840,35127,2713,7.169661733615222
"Ponca City, OK Micro Area",43859,6.2,3.9,17.8,53746,33000,38620,36.8384462,-97.1571626,20968,17571,3397,16.2008775276612
"Pontiac, IL Micro Area",35771,3.7,6.4,21.6,68175,39569,38700,40.8682487,-88.5631125,15920,14396,1524,9.57286432160804
"Poplar Bluff, MO Micro Area",53119,5.0,5.2,21.9,46581,29360,38740,36.7151346,-90.4146358,24432,21496,2936,12.017026850032744
"Port Angeles, WA Micro Area",77333,5.4,11.4,20.1,66108,38027,38820,47.9998383,-123.7373472,37930,34113,3817,10.063274452939623
"Portland-South Portland, ME Metro Area",552916,3.4,14.9,25.0,84095,45483,38860,43.8506432,-70.4001498,280588,233160,47428,16.90307497113205
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2505312,5.1,17.7,25.8,90451,47443,38900,45.1608821,-122.2305038,1033420,979213,54207,5.245398773006135
"Port Lavaca, TX Micro Area",20127,3.4,1.8,18.0,62267,40404,38920,28.5031572,-96.6736551,10539,7614,2925,27.75405636208369
"Port St. Lucie, FL Metro Area",494081,5.5,10.0,27.9,69429,37088,38940,27.0673711,-80.3994412,229255,197747,31508,13.74364790299012
"Portsmouth, OH Micro Area",73716,7.5,6.1,26.8,46360,34384,39020,38.823448,-83.017141,33108,29612,3496,10.559381418388304
"Pottsville, PA Micro Area",143201,5.3,5.3,26.7,63574,40362,39060,40.6936632,-76.2277971,67128,57950,9178,13.672387081396732
"Prescott Valley-Prescott, AZ Metro Area",237830,4.9,11.0,23.7,62430,34148,39150,34.5668857,-112.5515965,121154,104425,16729,13.80804595803688
"Price, UT Micro Area",20338,6.7,6.2,17.3,53734,30142,39220,39.6023917,-110.6505023,9579,7950,1629,17.0059505167554
"Providence-Warwick, RI-MA Metro Area",1670949,5.8,9.3,26.3,81136,45920,39300,41.7425538,-71.0856545,726938,670567,56371,7.754581546156619
"Pueblo, CO Metro Area",168135,5.9,5.8,22.4,59436,38609,39380,38.187635,-104.5350145,71981,67095,4886,6.787902363123602
"Pullman, WA Micro Area",47141,6.7,8.9,16.8,49345,23259,39420,46.9428831,-117.5286172,20922,18650,2272,10.859382468215276
"Punta Gorda, FL Metro Area",189900,5.7,13.8,25.7,62164,33412,39460,26.9013269,-81.9156799,110046,85846,24200,21.99080384566454
"Quincy, IL-MO Micro Area",75570,4.1,5.8,17.7,61924,38128,39500,39.9787786,-91.2110065,34547,31102,3445,9.97192230873882
"Raleigh-Cary, NC Metro Area",1420825,4.2,20.1,27.0,91818,49056,39580,36.1028596,-78.2787229,576280,542396,33884,5.879780662178108
