msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Boone, NC Micro Area",54540,9.3,8.9,20.0,50034,20673,14380,36.2228105,-81.6863808,32637,21413,11224,34.390415785764624
"Borger, TX Micro Area",20595,4.3,2.5,20.4,62211,35030,14420,35.8148236,-101.34844,10166,8171,1995,19.62423765492819
"Boston-Cambridge-Newton, MA-NH Metro Area",4912449,5.0,16.3,30.8,107117,56419,14460,42.6762973,-70.9486776,2032387,1912456,119931,5.900992281489697
"Boulder, CO Metro Area",328658,4.4,24.4,23.4,99770,44878,14500,40.102555,-105.3632079,140848,132551,8297,5.890747472452573
"Bowling Green, KY Metro Area",180624,5.2,5.3,22.4,60914,33030,14540,36.7528961,-86.1924103,77863,69245,8618,11.06815817525654
"Bradford, PA Micro Area",40459,5.3,4.4,20.7,57861,35008,14620,41.8019737,-78.5769879,19416,16470,2946,15.173053152039556
"Brainerd, MN Micro Area",96846,5.4,9.7,23.1,64975,37292,14660,47.0234117,-94.3454604,65440,40486,24954,38.132640586797066
"Branson, MO Micro Area",56202,5.1,8.4,23.8,54467,27193,14700,36.6563729,-93.0665776,29391,22486,6905,23.493586472049262
"Breckenridge, CO Micro Area",30955,3.7,19.3,19.9,100611,47086,14720,39.2056525,-106.342801,31342,12939,18403,58.71673792355306
"Bremerton-Silverdale-Port Orchard, WA Metro Area",275411,4.7,11.6,29.3,93675,47231,14740,47.594502,-122.6474421,113248,105803,7445,6.574067533201469
"Brenham, TX Micro Area",35807,2.7,7.2,21.2,70043,37523,14780,30.2226352,-96.3936114,16838,13906,2932,17.41299441738924
"Brevard, NC Micro Area",33131,4.0,10.0,22.1,62056,33955,14820,35.1982216,-82.7724889,19025,14385,4640,24.388961892247043
"Brookhaven, MS Micro Area",34855,4.3,3.0,27.6,47069,34863,15020,31.4885409,-90.4480916,15744,13939,1805,11.464684959349594
"Brookings, OR Micro Area",23404,7.2,16.4,17.1,64300,37989,15060,42.4265426,-124.216879,13018,10953,2065,15.86265171301275
"Brookings, SD Micro Area",34631,3.9,9.9,14.3,64438,32169,15100,44.3763598,-96.7925213,14849,13120,1729,11.643881742878309
