"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Birmingham-Hoover, AL Metro Area","487,824","440,912","46,912"
"Bismarck, ND Metro Area","","",""
"    Bismarck, ND Metro Area","58,711","54,514","4,197"
"Blackfoot, ID Micro Area","","",""
"    Blackfoot, ID Micro Area","16,905","15,891","1,014"
"Blacksburg-Christiansburg, VA Metro Area","","",""
"    Blacksburg-Christiansburg, VA Metro Area","72,858","65,445","7,413"
"Bloomington, IL Metro Area","","",""
"    Bloomington, IL Metro Area","74,855","69,096","5,759"
"Bloomington, IN Metro Area","","",""
"    Bloomington, IN Metro Area","73,401","66,913","6,488"
"Bloomsburg-Berwick, PA Metro Area","","",""
"    Bloomsburg-Berwick, PA Metro Area","37,737","33,899","3,838"
"Bluefield, WV-VA Micro Area","","",""
"    Bluefield, WV-VA Micro Area","52,335","44,827","7,508"
"Bluffton, IN Micro Area","","",""
"    Bluffton, IN Micro Area","11,938","11,134","804"
"Blytheville, AR Micro Area","","",""
"    Blytheville, AR Micro Area","19,075","16,036","3,039"
"Bogalusa, LA Micro Area","","",""
"    Bogalusa, LA Micro Area","21,341","17,944","3,397"
"Boise City, ID Metro Area","","",""
"    Boise City, ID Metro Area","295,639","280,112","15,527"
"Bonham, TX Micro Area","","",""
"    Bonham, TX Micro Area","14,640","12,857","1,783"
"Boone, NC Micro Area","","",""
"    Boone, NC Micro Area","32,637","21,413","11,224"
"Borger, TX Micro Area","","",""
"    Borger, TX Micro Area","10,166","8,171","1,995"
"Boston-Cambridge-Newton, MA-NH Metro Area","","",""
"    Boston-Cambridge-Newton, MA-NH Metro Area","2,032,387","1,912,456","119,931"
"Boulder, CO Metro Area","","",""
"    Boulder, CO Metro Area","140,848","132,551","8,297"
"Bowling Green, KY Metro Area","","",""
"    Bowling Green, KY Metro Area","77,863","69,245","8,618"
"Bozeman, MT Micro Area","","",""
"    Bozeman, MT Micro Area","52,835","47,117","5,718"
"Bradford, PA Micro Area","","",""
"    Bradford, PA Micro Area","19,416","16,470","2,946"
"Brainerd, MN Micro Area","","",""
