"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","2,641,002","2,331,951","309,051"
"Michigan City-La Porte, IN Metro Area","","",""
"    Michigan City-La Porte, IN Metro Area","49,780","43,799","5,981"
"Middlesborough, KY Micro Area","","",""
"    Middlesborough, KY Micro Area","11,517","9,928","1,589"
"Midland, MI Metro Area","","",""
"    Midland, MI Metro Area","36,867","34,288","2,579"
"Midland, TX Metro Area","","",""
"    Midland, TX Metro Area","72,423","62,728","9,695"
"Milledgeville, GA Micro Area","","",""
"    Milledgeville, GA Micro Area","24,884","19,809","5,075"
"Milwaukee-Waukesha, WI Metro Area","","",""
"    Milwaukee-Waukesha, WI Metro Area","693,765","651,032","42,733"
"Minden, LA Micro Area","","",""
"    Minden, LA Micro Area","18,236","15,684","2,552"
"Mineral Wells, TX Micro Area","","",""
"    Mineral Wells, TX Micro Area","15,079","11,250","3,829"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","","",""
"    Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1,503,829","1,434,315","69,514"
"Minot, ND Micro Area","","",""
"    Minot, ND Micro Area","36,276","32,121","4,155"
"Missoula, MT Metro Area","","",""
"    Missoula, MT Metro Area","54,542","50,645","3,897"
"Mitchell, SD Micro Area","","",""
"    Mitchell, SD Micro Area","10,763","9,727","1,036"
"Moberly, MO Micro Area","","",""
"    Moberly, MO Micro Area","10,773","9,424","1,349"
"Mobile, AL Metro Area","","",""
"    Mobile, AL Metro Area","192,153","170,071","22,082"
"Modesto, CA Metro Area","","",""
"    Modesto, CA Metro Area","183,140","176,738","6,402"
"Monroe, LA Metro Area","","",""
"    Monroe, LA Metro Area","92,225","81,715","10,510"
"Monroe, MI Metro Area","","",""
"    Monroe, MI Metro Area","65,845","62,152","3,693"
"Montgomery, AL Metro Area","","",""
"    Montgomery, AL Metro Area","171,240","152,474","18,766"
"Montrose, CO Micro Area","","",""
"    Montrose, CO Micro Area","22,266","19,779","2,487"
"Morehead City, NC Micro Area","","",""
"    Morehead City, NC Micro Area","50,846","30,112","20,734"
"Morgan City, LA Micro Area","","",""
"    Morgan City, LA Micro Area","22,407","19,321","3,086"
"Morgantown, WV Metro Area","","",""
"    Morgantown, WV Metro Area","65,055","57,330","7,725"
"Morristown, TN Metro Area","","",""
"    Morristown, TN Metro Area","63,848","56,389","7,459"
"Moscow, ID Micro Area","","",""
"    Moscow, ID Micro Area","17,259","16,063","1,196"
"Moses Lake, WA Micro Area","","",""
"    Moses Lake, WA Micro Area","38,635","34,078","4,557"
"Moultrie, GA Micro Area","","",""
"    Moultrie, GA Micro Area","19,105","17,172","1,933"
"Mountain Home, AR Micro Area","","",""
"    Mountain Home, AR Micro Area","22,699","18,936","3,763"
"Mountain Home, ID Micro Area","","",""
"    Mountain Home, ID Micro Area","12,049","10,663","1,386"
"Mount Airy, NC Micro Area","","",""
"    Mount Airy, NC Micro Area","33,436","29,659","3,777"
"Mount Gay-Shamrock, WV Micro Area","","",""
"    Mount Gay-Shamrock, WV Micro Area","14,738","13,033","1,705"
"Mount Pleasant, MI Micro Area","","",""
"    Mount Pleasant, MI Micro Area","28,489","25,191","3,298"
"Mount Pleasant, TX Micro Area","","",""
"    Mount Pleasant, TX Micro Area","17,787","15,620","2,167"
"Mount Sterling, KY Micro Area","","",""
"    Mount Sterling, KY Micro Area","20,847","18,475","2,372"
"Mount Vernon, IL Micro Area","","",""
"    Mount Vernon, IL Micro Area","16,632","14,945","1,687"
"Mount Vernon, OH Micro Area","","",""
"    Mount Vernon, OH Micro Area","25,797","23,429","2,368"
"Mount Vernon-Anacortes, WA Metro Area","","",""
"    Mount Vernon-Anacortes, WA Metro Area","55,744","50,371","5,373"
"Muncie, IN Metro Area","","",""
"    Muncie, IN Metro Area","51,464","45,453","6,011"
"Murray, KY Micro Area","","",""
"    Murray, KY Micro Area","17,874","15,108","2,766"
"Muscatine, IA Micro Area","","",""
"    Muscatine, IA Micro Area","18,366","16,908","1,458"
"Muskegon, MI Metro Area","","",""
"    Muskegon, MI Metro Area","74,591","68,610","5,981"
"Muskogee, OK Micro Area","","",""
"    Muskogee, OK Micro Area","29,278","25,525","3,753"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","","",""
"    Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","292,032","211,717","80,315"
"Nacogdoches, TX Micro Area","","",""
"    Nacogdoches, TX Micro Area","28,877","24,713","4,164"
"Napa, CA Metro Area","","",""
"    Napa, CA Metro Area","55,448","49,738","5,710"
"Naples-Marco Island, FL Metro Area","","",""
"    Naples-Marco Island, FL Metro Area","228,390","157,921","70,469"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","","",""
"    Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","828,009","772,530","55,479"
"Natchez, MS-LA Micro Area","","",""
"    Natchez, MS-LA Micro Area","23,849","19,911","3,938"
"Natchitoches, LA Micro Area","","",""
"    Natchitoches, LA Micro Area","18,513","15,213","3,300"
"New Bern, NC Metro Area","","",""
"    New Bern, NC Metro Area","58,553","49,998","8,555"
"Newberry, SC Micro Area","","",""
"    Newberry, SC Micro Area","18,213","15,039","3,174"
"New Castle, IN Micro Area","","",""
"    New Castle, IN Micro Area","20,952","18,954","1,998"
"New Castle, PA Micro Area","","",""
"    New Castle, PA Micro Area","39,492","35,939","3,553"
"New Haven-Milford, CT Metro Area","","",""
"    New Haven-Milford, CT Metro Area","369,178","343,437","25,741"
"New Orleans-Metairie, LA Metro Area","","",""
"    New Orleans-Metairie, LA Metro Area","571,914","512,253","59,661"
"New Philadelphia-Dover, OH Micro Area","","",""
"    New Philadelphia-Dover, OH Micro Area","40,817","37,711","3,106"
"Newport, OR Micro Area","","",""
"    Newport, OR Micro Area","32,066","22,707","9,359"
"Newport, TN Micro Area","","",""
"    Newport, TN Micro Area","17,808","15,246","2,562"
"New Ulm, MN Micro Area","","",""
"    New Ulm, MN Micro Area","11,780","10,970","810"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","","",""
"    New York-Newark-Jersey City, NY-NJ-PA Metro Area","7,982,384","7,405,418","576,966"
"Niles, MI Metro Area","","",""
"    Niles, MI Metro Area","76,821","63,955","12,866"
"Nogales, AZ Micro Area","","",""
"    Nogales, AZ Micro Area","18,729","16,670","2,059"
"Norfolk, NE Micro Area","","",""
"    Norfolk, NE Micro Area","20,672","19,150","1,522"
"North Platte, NE Micro Area","","",""
"    North Platte, NE Micro Area","17,125","15,137","1,988"
"North Port-Sarasota-Bradenton, FL Metro Area","","",""
"    North Port-Sarasota-Bradenton, FL Metro Area","459,864","368,648","91,216"
"North Vernon, IN Micro Area","","",""
"    North Vernon, IN Micro Area","11,574","10,582","992"
"North Wilkesboro, NC Micro Area","","",""
"    North Wilkesboro, NC Micro Area","31,545","27,612","3,933"
"Norwalk, OH Micro Area","","",""
"    Norwalk, OH Micro Area","25,499","23,406","2,093"
"Norwich-New London, CT Metro Area","","",""
"    Norwich-New London, CT Metro Area","122,863","109,572","13,291"
"Oak Harbor, WA Micro Area","","",""
"    Oak Harbor, WA Micro Area","41,922","35,917","6,005"
"Ocala, FL Metro Area","","",""
"    Ocala, FL Metro Area","177,380","156,906","20,474"
"Ocean City, NJ Metro Area","","",""
"    Ocean City, NJ Metro Area","99,606","41,012","58,594"
"Odessa, TX Metro Area","","",""
"    Odessa, TX Metro Area","66,086","57,336","8,750"
"Ogden-Clearfield, UT Metro Area","","",""
"    Ogden-Clearfield, UT Metro Area","234,051","223,399","10,652"
"Ogdensburg-Massena, NY Micro Area","","",""
"    Ogdensburg-Massena, NY Micro Area","51,612","41,235","10,377"
"Oil City, PA Micro Area","","",""
"    Oil City, PA Micro Area","26,156","21,506","4,650"
"Okeechobee, FL Micro Area","","",""
"    Okeechobee, FL Micro Area","18,484","14,433","4,051"
"Oklahoma City, OK Metro Area","","",""
"    Oklahoma City, OK Metro Area","607,725","552,514","55,211"
"Olean, NY Micro Area","","",""
"    Olean, NY Micro Area","40,152","31,863","8,289"
"Olympia-Lacey-Tumwater, WA Metro Area","","",""
"    Olympia-Lacey-Tumwater, WA Metro Area","121,438","115,397","6,041"
"Omaha-Council Bluffs, NE-IA Metro Area","","",""
"    Omaha-Council Bluffs, NE-IA Metro Area","400,945","375,433","25,512"
"Oneonta, NY Micro Area","","",""
"    Oneonta, NY Micro Area","29,838","23,414","6,424"
"Ontario, OR-ID Micro Area","","",""
"    Ontario, OR-ID Micro Area","21,299","19,728","1,571"
"Opelousas, LA Micro Area","","",""
"    Opelousas, LA Micro Area","36,723","32,499","4,224"
"Orangeburg, SC Micro Area","","",""
"    Orangeburg, SC Micro Area","41,197","33,825","7,372"
"Orlando-Kissimmee-Sanford, FL Metro Area","","",""
"    Orlando-Kissimmee-Sanford, FL Metro Area","1,087,949","989,354","98,595"
"Oshkosh-Neenah, WI Metro Area","","",""
"    Oshkosh-Neenah, WI Metro Area","76,046","71,473","4,573"
"Oskaloosa, IA Micro Area","","",""
"    Oskaloosa, IA Micro Area","9,680","8,799","881"
"Othello, WA Micro Area","","",""
"    Othello, WA Micro Area","6,735","6,228","507"
"Ottawa, IL Micro Area","","",""
"    Ottawa, IL Micro Area","68,485","61,808","6,677"
"Ottawa, KS Micro Area","","",""
"    Ottawa, KS Micro Area","11,149","10,233","916"
"Ottumwa, IA Micro Area","","",""
"    Ottumwa, IA Micro Area","15,734","14,167","1,567"
"Owatonna, MN Micro Area","","",""
"    Owatonna, MN Micro Area","15,691","14,823","868"
"Owensboro, KY Metro Area","","",""
"    Owensboro, KY Metro Area","51,918","48,373","3,545"
"Oxford, MS Micro Area","","",""
"    Oxford, MS Micro Area","28,208","22,362","5,846"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","","",""
"    Oxnard-Thousand Oaks-Ventura, CA Metro Area","293,080","279,715","13,365"
"Ozark, AL Micro Area","","",""
"    Ozark, AL Micro Area","22,761","20,159","2,602"
"Paducah, KY-IL Micro Area","","",""
"    Paducah, KY-IL Micro Area","47,110","41,820","5,290"
"Pahrump, NV Micro Area","","",""
"    Pahrump, NV Micro Area","25,191","21,763","3,428"
"Palatka, FL Micro Area","","",""
"    Palatka, FL Micro Area","36,014","29,569","6,445"
"Palestine, TX Micro Area","","",""
"    Palestine, TX Micro Area","20,131","17,371","2,760"
"Palm Bay-Melbourne-Titusville, FL Metro Area","","",""
"    Palm Bay-Melbourne-Titusville, FL Metro Area","288,794","257,026","31,768"
"Pampa, TX Micro Area","","",""
"    Pampa, TX Micro Area","10,426","8,278","2,148"
"Panama City, FL Metro Area","","",""
"    Panama City, FL Metro Area","102,971","70,134","32,837"
"Paragould, AR Micro Area","","",""
"    Paragould, AR Micro Area","19,159","17,673","1,486"
"Paris, TN Micro Area","","",""
"    Paris, TN Micro Area","16,937","13,742","3,195"
"Paris, TX Micro Area","","",""
"    Paris, TX Micro Area","22,644","20,186","2,458"
"Parkersburg-Vienna, WV Metro Area","","",""
"    Parkersburg-Vienna, WV Metro Area","43,006","38,403","4,603"
"Parsons, KS Micro Area","","",""
"    Parsons, KS Micro Area","9,524","8,222","1,302"
"Payson, AZ Micro Area","","",""
"    Payson, AZ Micro Area","32,373","22,312","10,061"
"Pearsall, TX Micro Area","","",""
"    Pearsall, TX Micro Area","6,340","5,190","1,150"
"Pecos, TX Micro Area","","",""
"    Pecos, TX Micro Area","5,102","4,203","899"
"Pella, IA Micro Area","","",""
"    Pella, IA Micro Area","14,073","13,145","928"
"Pensacola-Ferry Pass-Brent, FL Metro Area","","",""
"    Pensacola-Ferry Pass-Brent, FL Metro Area","221,244","197,614","23,630"
"Peoria, IL Metro Area","","",""
"    Peoria, IL Metro Area","183,579","165,642","17,937"
"Peru, IN Micro Area","","",""
"    Peru, IN Micro Area","14,852","13,348","1,504"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","","",""
"    Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2,586,947","2,413,835","173,112"
"Phoenix-Mesa-Chandler, AZ Metro Area","","",""
"    Phoenix-Mesa-Chandler, AZ Metro Area","1,985,705","1,790,242","195,463"
"Picayune, MS Micro Area","","",""
"    Picayune, MS Micro Area","24,641","21,703","2,938"
"Pierre, SD Micro Area","","",""
"    Pierre, SD Micro Area","9,349","8,484","865"
"Pine Bluff, AR Metro Area","","",""
"    Pine Bluff, AR Metro Area","38,509","33,172","5,337"
"Pinehurst-Southern Pines, NC Micro Area","","",""
"    Pinehurst-Southern Pines, NC Micro Area","48,237","41,881","6,356"
"Pittsburg, KS Micro Area","","",""
"    Pittsburg, KS Micro Area","17,997","15,668","2,329"
"Pittsburgh, PA Metro Area","","",""
"    Pittsburgh, PA Metro Area","1,124,531","1,024,382","100,149"
"Pittsfield, MA Metro Area","","",""
"    Pittsfield, MA Metro Area","69,759","57,015","12,744"
"Plainview, TX Micro Area","","",""
"    Plainview, TX Micro Area","13,396","11,396","2,000"
"Platteville, WI Micro Area","","",""
"    Platteville, WI Micro Area","22,110","19,956","2,154"
"Plattsburgh, NY Micro Area","","",""
"    Plattsburgh, NY Micro Area","37,315","32,583","4,732"
"Plymouth, IN Micro Area","","",""
"    Plymouth, IN Micro Area","19,654","17,480","2,174"
"Pocatello, ID Metro Area","","",""
"    Pocatello, ID Metro Area","37,840","35,127","2,713"
"Point Pleasant, WV-OH Micro Area","","",""
"    Point Pleasant, WV-OH Micro Area","25,583","22,235","3,348"
"Ponca City, OK Micro Area","","",""
"    Ponca City, OK Micro Area","20,968","17,571","3,397"
"Ponce, PR Metro Area","","",""
"    Ponce, PR Metro Area","104,029","88,500","15,529"
"Pontiac, IL Micro Area","","",""
"    Pontiac, IL Micro Area","15,920","14,396","1,524"
"Poplar Bluff, MO Micro Area","","",""
"    Poplar Bluff, MO Micro Area","24,432","21,496","2,936"
"Portales, NM Micro Area","","",""
"    Portales, NM Micro Area","8,483","7,159","1,324"
"Port Angeles, WA Micro Area","","",""
"    Port Angeles, WA Micro Area","37,930","34,113","3,817"
"Portland-South Portland, ME Metro Area","","",""
"    Portland-South Portland, ME Metro Area","280,588","233,160","47,428"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","","",""
"    Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,033,420","979,213","54,207"
"Port Lavaca, TX Micro Area","","",""
"    Port Lavaca, TX Micro Area","10,539","7,614","2,925"
"Port St. Lucie, FL Metro Area","","",""
"    Port St. Lucie, FL Metro Area","229,255","197,747","31,508"
"Portsmouth, OH Micro Area","","",""
"    Portsmouth, OH Micro Area","33,108","29,612","3,496"
"Pottsville, PA Micro Area","","",""
"    Pottsville, PA Micro Area","67,128","57,950","9,178"
"Poughkeepsie-Newburgh-Middletown, NY Metro Area","","",""
"    Poughkeepsie-Newburgh-Middletown, NY Metro Area","268,888","247,673","21,215"
"Prescott Valley-Prescott, AZ Metro Area","","",""
"    Prescott Valley-Prescott, AZ Metro Area","121,154","104,425","16,729"
"Price, UT Micro Area","","",""
"    Price, UT Micro Area","9,579","7,950","1,629"
"Prineville, OR Micro Area","","",""
"    Prineville, OR Micro Area","11,159","9,975","1,184"
"Providence-Warwick, RI-MA Metro Area","","",""
"    Providence-Warwick, RI-MA Metro Area","726,938","670,567","56,371"
"Provo-Orem, UT Metro Area","","",""
"    Provo-Orem, UT Metro Area","196,386","188,087","8,299"
"Pueblo, CO Metro Area","","",""
"    Pueblo, CO Metro Area","71,981","67,095","4,886"
"Pullman, WA Micro Area","","",""
"    Pullman, WA Micro Area","20,922","18,650","2,272"
"Punta Gorda, FL Metro Area","","",""
"    Punta Gorda, FL Metro Area","110,046","85,846","24,200"
"Quincy, IL-MO Micro Area","","",""
"    Quincy, IL-MO Micro Area","34,547","31,102","3,445"
"Racine, WI Metro Area","","",""
"    Racine, WI Metro Area","84,490","78,959","5,531"
"Raleigh-Cary, NC Metro Area","","",""
"    Raleigh-Cary, NC Metro Area","576,280","542,396","33,884"
"Rapid City, SD Metro Area","","",""
"    Rapid City, SD Metro Area","61,510","56,274","5,236"
"Raymondville, TX Micro Area","","",""
"    Raymondville, TX Micro Area","6,770","5,714","1,056"
"Reading, PA Metro Area","","",""
"    Reading, PA Metro Area","170,742","161,485","9,257"
"Red Bluff, CA Micro Area","","",""
"    Red Bluff, CA Micro Area","27,341","24,910","2,431"
"Redding, CA Metro Area","","",""
"    Redding, CA Metro Area","79,380","72,836","6,544"
"Red Wing, MN Micro Area","","",""
"    Red Wing, MN Micro Area","20,864","19,499","1,365"
"Reno, NV Metro Area","","",""
"    Reno, NV Metro Area","209,196","193,692","15,504"
"Rexburg, ID Micro Area","","",""
"    Rexburg, ID Micro Area","22,576","17,388","5,188"
"Richmond, IN Micro Area","","",""
"    Richmond, IN Micro Area","30,752","27,409","3,343"
"Richmond, VA Metro Area","","",""
"    Richmond, VA Metro Area","551,968","518,667","33,301"
"Richmond-Berea, KY Micro Area","","",""
"    Richmond-Berea, KY Micro Area","46,146","42,023","4,123"
"Rio Grande City-Roma, TX Micro Area","","",""
"    Rio Grande City-Roma, TX Micro Area","22,980","19,868","3,112"
"Riverside-San Bernardino-Ontario, CA Metro Area","","",""
"    Riverside-San Bernardino-Ontario, CA Metro Area","1,580,448","1,431,119","149,329"
"Riverton, WY Micro Area","","",""
"    Riverton, WY Micro Area","17,407","15,146","2,261"
"Roanoke, VA Metro Area","","",""
"    Roanoke, VA Metro Area","147,601","132,722","14,879"
"Roanoke Rapids, NC Micro Area","","",""
"    Roanoke Rapids, NC Micro Area","35,305","28,508","6,797"
"Rochelle, IL Micro Area","","",""
"    Rochelle, IL Micro Area","22,632","20,870","1,762"
"Rochester, MN Metro Area","","",""
"    Rochester, MN Metro Area","97,302","90,673","6,629"
"Rochester, NY Metro Area","","",""
"    Rochester, NY Metro Area","489,463","450,845","38,618"
"Rockford, IL Metro Area","","",""
"    Rockford, IL Metro Area","145,140","134,568","10,572"
"Rockingham, NC Micro Area","","",""
"    Rockingham, NC Micro Area","19,605","17,454","2,151"
"Rockport, TX Micro Area","","",""
"    Rockport, TX Micro Area","15,500","10,236","5,264"
"Rock Springs, WY Micro Area","","",""
"    Rock Springs, WY Micro Area","19,145","16,625","2,520"
"Rocky Mount, NC Metro Area","","",""
"    Rocky Mount, NC Metro Area","66,213","59,064","7,149"
"Rolla, MO Micro Area","","",""
"    Rolla, MO Micro Area","20,174","17,815","2,359"
"Rome, GA Metro Area","","",""
"    Rome, GA Metro Area","40,475","36,883","3,592"
"Roseburg, OR Micro Area","","",""
"    Roseburg, OR Micro Area","49,774","45,817","3,957"
"Roswell, NM Micro Area","","",""
"    Roswell, NM Micro Area","26,658","23,521","3,137"
"Ruidoso, NM Micro Area","","",""
"    Ruidoso, NM Micro Area","17,624","9,148","8,476"
"Russellville, AR Micro Area","","",""
"    Russellville, AR Micro Area","36,148","31,918","4,230"
"Ruston, LA Micro Area","","",""
"    Ruston, LA Micro Area","20,370","18,075","2,295"
"Rutland, VT Micro Area","","",""
"    Rutland, VT Micro Area","33,869","26,651","7,218"
"Sacramento-Roseville-Folsom, CA Metro Area","","",""
"    Sacramento-Roseville-Folsom, CA Metro Area","933,562","868,460","65,102"
"Safford, AZ Micro Area","","",""
"    Safford, AZ Micro Area","13,704","12,150","1,554"
"Saginaw, MI Metro Area","","",""
"    Saginaw, MI Metro Area","85,953","78,442","7,511"
"St. Cloud, MN Metro Area","","",""
"    St. Cloud, MN Metro Area","82,999","76,927","6,072"
"St. George, UT Metro Area","","",""
"    St. George, UT Metro Area","74,530","62,416","12,114"
"St. Joseph, MO-KS Metro Area","","",""
"    St. Joseph, MO-KS Metro Area","53,437","47,703","5,734"
"St. Louis, MO-IL Metro Area","","",""
"    St. Louis, MO-IL Metro Area","1,258,862","1,149,824","109,038"
"St. Marys, GA Micro Area","","",""
"    St. Marys, GA Micro Area","22,541","20,374","2,167"
"St. Marys, PA Micro Area","","",""
"    St. Marys, PA Micro Area","16,836","13,590","3,246"
"Salem, OH Micro Area","","",""
"    Salem, OH Micro Area","46,091","41,706","4,385"
"Salem, OR Metro Area","","",""
"    Salem, OR Metro Area","162,369","154,721","7,648"
"Salina, KS Micro Area","","",""
"    Salina, KS Micro Area","26,757","24,568","2,189"
"Salinas, CA Metro Area","","",""
"    Salinas, CA Metro Area","143,631","131,789","11,842"
"Salisbury, MD-DE Metro Area","","",""
"    Salisbury, MD-DE Metro Area","253,120","169,737","83,383"
"Salt Lake City, UT Metro Area","","",""
"    Salt Lake City, UT Metro Area","451,281","427,316","23,965"
"San Angelo, TX Metro Area","","",""
"    San Angelo, TX Metro Area","52,770","47,794","4,976"
"San Antonio-New Braunfels, TX Metro Area","","",""
"    San Antonio-New Braunfels, TX Metro Area","1,015,678","925,609","90,069"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","","",""
"    San Diego-Chula Vista-Carlsbad, CA Metro Area","1,228,505","1,158,764","69,741"
"Sandpoint, ID Micro Area","","",""
"    Sandpoint, ID Micro Area","26,312","19,619","6,693"
"Sandusky, OH Micro Area","","",""
"    Sandusky, OH Micro Area","38,262","32,360","5,902"
"Sanford, NC Micro Area","","",""
"    Sanford, NC Micro Area","26,583","24,575","2,008"
"San Francisco-Oakland-Berkeley, CA Metro Area","","",""
"    San Francisco-Oakland-Berkeley, CA Metro Area","1,847,185","1,744,100","103,085"
"San Germán, PR Metro Area","","",""
"    San Germán, PR Metro Area","67,255","52,203","15,052"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","","",""
"    San Jose-Sunnyvale-Santa Clara, CA Metro Area","708,400","675,547","32,853"
"San Juan-Bayamón-Caguas, PR Metro Area","","",""
"    San Juan-Bayamón-Caguas, PR Metro Area","1,006,503","851,651","154,852"
"San Luis Obispo-Paso Robles, CA Metro Area","","",""
"    San Luis Obispo-Paso Robles, CA Metro Area","123,715","107,797","15,918"
"Santa Cruz-Watsonville, CA Metro Area","","",""
"    Santa Cruz-Watsonville, CA Metro Area","106,345","96,261","10,084"
"Santa Fe, NM Metro Area","","",""
"    Santa Fe, NM Metro Area","76,877","68,020","8,857"
"Santa Isabel, PR Micro Area","","",""
"    Santa Isabel, PR Micro Area","9,345","8,094","1,251"
"Santa Maria-Santa Barbara, CA Metro Area","","",""
"    Santa Maria-Santa Barbara, CA Metro Area","158,279","148,353","9,926"
"Santa Rosa-Petaluma, CA Metro Area","","",""
"    Santa Rosa-Petaluma, CA Metro Area","204,742","187,701","17,041"
"Sault Ste. Marie, MI Micro Area","","",""
"    Sault Ste. Marie, MI Micro Area","20,268","13,837","6,431"
"Savannah, GA Metro Area","","",""
"    Savannah, GA Metro Area","175,166","156,817","18,349"
"Sayre, PA Micro Area","","",""
"    Sayre, PA Micro Area","29,363","24,789","4,574"
"Scottsbluff, NE Micro Area","","",""
"    Scottsbluff, NE Micro Area","17,526","15,471","2,055"
"Scottsboro, AL Micro Area","","",""
"    Scottsboro, AL Micro Area","24,627","21,733","2,894"
"Scottsburg, IN Micro Area","","",""
"    Scottsburg, IN Micro Area","10,715","9,717","998"
"Scranton--Wilkes-Barre, PA Metro Area","","",""
"    Scranton--Wilkes-Barre, PA Metro Area","263,327","233,994","29,333"
"Searcy, AR Micro Area","","",""
"    Searcy, AR Micro Area","33,270","29,705","3,565"
"Seattle-Tacoma-Bellevue, WA Metro Area","","",""
"    Seattle-Tacoma-Bellevue, WA Metro Area","1,650,246","1,564,432","85,814"
"Sebastian-Vero Beach, FL Metro Area","","",""
"    Sebastian-Vero Beach, FL Metro Area","83,529","71,177","12,352"
"Sebring-Avon Park, FL Metro Area","","",""
"    Sebring-Avon Park, FL Metro Area","57,486","44,376","13,110"
"Sedalia, MO Micro Area","","",""
"    Sedalia, MO Micro Area","18,563","16,588","1,975"
"Selinsgrove, PA Micro Area","","",""
"    Selinsgrove, PA Micro Area","15,978","14,753","1,225"
"Selma, AL Micro Area","","",""
"    Selma, AL Micro Area","18,880","16,037","2,843"
"Seneca, SC Micro Area","","",""
"    Seneca, SC Micro Area","40,788","33,241","7,547"
"Seneca Falls, NY Micro Area","","",""
"    Seneca Falls, NY Micro Area","16,096","13,414","2,682"
"Sevierville, TN Micro Area","","",""
"    Sevierville, TN Micro Area","56,240","39,520","16,720"
"Seymour, IN Micro Area","","",""
"    Seymour, IN Micro Area","19,069","17,809","1,260"
"Shawano, WI Micro Area","","",""
"    Shawano, WI Micro Area","22,499","18,500","3,999"
"Shawnee, OK Micro Area","","",""
"    Shawnee, OK Micro Area","29,973","26,817","3,156"
"Sheboygan, WI Metro Area","","",""
"    Sheboygan, WI Metro Area","52,303","48,702","3,601"
"Shelby, NC Micro Area","","",""
"    Shelby, NC Micro Area","43,630","39,887","3,743"
"Shelbyville, TN Micro Area","","",""
"    Shelbyville, TN Micro Area","19,685","18,350","1,335"
"Shelton, WA Micro Area","","",""
"    Shelton, WA Micro Area","33,269","25,505","7,764"
"Sheridan, WY Micro Area","","",""
"    Sheridan, WY Micro Area","14,884","13,349","1,535"
"Sherman-Denison, TX Metro Area","","",""
"    Sherman-Denison, TX Metro Area","58,572","52,307","6,265"
"Show Low, AZ Micro Area","","",""
"    Show Low, AZ Micro Area","56,180","36,836","19,344"
"Shreveport-Bossier City, LA Metro Area","","",""
"    Shreveport-Bossier City, LA Metro Area","179,915","159,810","20,105"
"Sidney, OH Micro Area","","",""
"    Sidney, OH Micro Area","20,059","18,803","1,256"
"Sierra Vista-Douglas, AZ Metro Area","","",""
"    Sierra Vista-Douglas, AZ Metro Area","58,648","50,936","7,712"
"Sikeston, MO Micro Area","","",""
"    Sikeston, MO Micro Area","16,746","15,306","1,440"
"Silver City, NM Micro Area","","",""
"    Silver City, NM Micro Area","14,584","12,269","2,315"
"Sioux City, IA-NE-SD Metro Area","","",""
"    Sioux City, IA-NE-SD Metro Area","60,201","56,332","3,869"
"Sioux Falls, SD Metro Area","","",""
"    Sioux Falls, SD Metro Area","116,263","109,218","7,045"
"Snyder, TX Micro Area","","",""
"    Snyder, TX Micro Area","6,889","5,925","964"
"Somerset, KY Micro Area","","",""
"    Somerset, KY Micro Area","31,552","26,405","5,147"
"Somerset, PA Micro Area","","",""
"    Somerset, PA Micro Area","37,713","30,208","7,505"
"Sonora, CA Micro Area","","",""
"    Sonora, CA Micro Area","31,415","22,711","8,704"
"South Bend-Mishawaka, IN-MI Metro Area","","",""
"    South Bend-Mishawaka, IN-MI Metro Area","143,414","128,014","15,400"
"Spartanburg, SC Metro Area","","",""
"    Spartanburg, SC Metro Area","137,009","125,836","11,173"
"Spearfish, SD Micro Area","","",""
"    Spearfish, SD Micro Area","14,163","11,444","2,719"
"Spencer, IA Micro Area","","",""
"    Spencer, IA Micro Area","8,109","7,222","887"
"Spirit Lake, IA Micro Area","","",""
"    Spirit Lake, IA Micro Area","13,691","7,976","5,715"
"Spokane-Spokane Valley, WA Metro Area","","",""
"    Spokane-Spokane Valley, WA Metro Area","246,261","231,275","14,986"
"Springfield, IL Metro Area","","",""
"    Springfield, IL Metro Area","98,573","89,506","9,067"
"Springfield, MA Metro Area","","",""
"    Springfield, MA Metro Area","297,623","278,127","19,496"
"Springfield, MO Metro Area","","",""
"    Springfield, MO Metro Area","207,779","192,076","15,703"
"Springfield, OH Metro Area","","",""
"    Springfield, OH Metro Area","60,987","55,844","5,143"
"Starkville, MS Micro Area","","",""
"    Starkville, MS Micro Area","30,438","25,077","5,361"
"State College, PA Metro Area","","",""
"    State College, PA Metro Area","65,408","59,357","6,051"
"Statesboro, GA Micro Area","","",""
"    Statesboro, GA Micro Area","32,983","29,747","3,236"
"Staunton, VA Metro Area","","",""
"    Staunton, VA Metro Area","55,174","51,164","4,010"
